"","DESeq2","edgeR","NOISeq","ttest","voom"
"baseline0_0",762,590,0,593,640
"baseline1250_0",1559,1270,0,1229,1324
"baseline4000_0",3453,2645,0,2845,3048
"baseline2000_2000",3107,2826,0,2614,2870
"poisson0_0",410,408,0,527,508
"poisson625_625",1303,1319,0,1331,1338
"single0_0",1041,731,0,505,574
"single625_625",1785,1406,0,1117,1263
"random0_0",1999,1275,0,436,469
"random625_625",2419,1677,0,909,1032
